HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,PRIORITY,SURVTYPE,PROSPECT,PROSPECTNAME,AZIMUTHTYPE,OBSERVACIONES
"AM-1","0020",0,269.62,-61.41,1,"GIRO1","432","MIC","",""
"AM-1","0020",10,270.11,-62.34,1,"GIRO1","432","MIC","",""
"AM-1","0020",20,269.31,-63.67,1,"GIRO1","432","MIC","",""
"AM-1","0020",30,270.44,-64.63,1,"GIRO1","432","MIC","",""
"AM-1","0020",40,270.65,-64.52,1,"GIRO1","432","MIC","",""
"AM-1","0020",50,269.61,-64.69,1,"GIRO1","432","MIC","",""
"AM-1","0020",60,269.83,-64.55,1,"GIRO1","432","MIC","",""
"AM-1","0020",70,269.66,-64.62,1,"GIRO1","432","MIC","",""
"AM-1","0020",80,269.3,-64.17,1,"GIRO1","432","MIC","",""
"AM-1","0020",90,269.96,-64.3,1,"GIRO1","432","MIC","",""
"AM-1","0020",100,270.12,-64.56,1,"GIRO1","432","MIC","",""
"AM-1","0020",110,269.85,-64.51,1,"GIRO1","432","MIC","",""
"AM-1","0020",120,270.47,-64.51,1,"GIRO1","432","MIC","",""
"AM-1","0020",130,269.67,-63.82,1,"GIRO1","432","MIC","",""
"AM-1","0020",140,269.06,-62.76,1,"GIRO1","432","MIC","",""
"AM-1","0020",150,269.45,-61.95,1,"GIRO1","432","MIC","",""
"AM-1","0020",160,267.98,-61.1,1,"GIRO1","432","MIC","",""
"AM-1","0020",170,267.83,-59.79,1,"GIRO1","432","MIC","",""
"AM-1","0020",180,267.6,-59.28,1,"GIRO1","432","MIC","",""
"AM-1","0020",190,266.08,-58.63,1,"GIRO1","432","MIC","",""
"AM-1","0020",200,266.54,-57.93,1,"GIRO1","432","MIC","",""
"AM-1","0020",210,265.7,-57.41,1,"GIRO1","432","MIC","",""
"AM-1","0020",220,265.5,-56.73,1,"GIRO1","432","MIC","",""
"AM-1","0020",230,265.64,-56.74,1,"GIRO1","432","MIC","",""
"AM-1","0020",240,264.55,-56.19,1,"GIRO1","432","MIC","",""
"AM-1","0020",250,264.68,-55.9,1,"GIRO1","432","MIC","",""
"AM-1","0020",260,263.97,-55.23,1,"GIRO1","432","MIC","",""
"AM-1","0020",270,263.99,-54.99,1,"GIRO1","432","MIC","",""
"AM-1","0020",280,263.14,-53.97,1,"GIRO1","432","MIC","",""
"AM-1","0020",290,263.36,-53.49,1,"GIRO1","432","MIC","",""
"AM-1","0020",300,262.97,-52.63,1,"GIRO1","432","MIC","",""
"AM-1","0020",310,261.91,-51.78,1,"GIRO1","432","MIC","",""
"AM-1","0020",320,262.34,-51.2,1,"GIRO1","432","MIC","",""
"AM-1","0020",330,262.18,-50.1,1,"GIRO1","432","MIC","",""
"AM-1","0020",340,262.21,-49.04,1,"GIRO1","432","MIC","",""
"AM-1","0020",350,261.52,-48.48,1,"GIRO1","432","MIC","",""
"AM-1","0020",360,261.83,-48.39,1,"GIRO1","432","MIC","",""
"AM-1","0020",370,262.43,-48.14,1,"GIRO1","432","MIC","",""
"AM-1","0020",380,262.87,-47.67,1,"GIRO1","432","MIC","",""
"AM-1","0020",390,261.89,-47.58,1,"GIRO1","432","MIC","",""
"AM-1","0020",400,262.51,-47.87,1,"GIRO1","432","MIC","",""
"AM-1","0020",410,262.68,-47.35,1,"GIRO1","432","MIC","",""
"AM-1","0020",420,262.28,-47.23,1,"GIRO1","432","MIC","",""
"AM-1","0020",430,261.8,-46.91,1,"GIRO1","432","MIC","",""
"AM-1","0020",440,262.26,-46.65,1,"GIRO1","432","MIC","",""
"AM-10","0020",0,88.06,-60.76,1,"GIRO1","432","MIC","",""
"AM-10","0020",10,86.44,-61.43,1,"GIRO1","432","MIC","",""
"AM-10","0020",20,85.66,-61.18,1,"GIRO1","432","MIC","",""
"AM-10","0020",30,87.02,-60.79,1,"GIRO1","432","MIC","",""
"AM-10","0020",40,85.37,-59.86,1,"GIRO1","432","MIC","",""
"AM-10","0020",50,86.32,-59.94,1,"GIRO1","432","MIC","",""
"AM-10","0020",60,85.92,-60.07,1,"GIRO1","432","MIC","",""
"AM-10","0020",70,85.5,-59.7,1,"GIRO1","432","MIC","",""
"AM-10","0020",80,84.74,-59.44,1,"GIRO1","432","MIC","",""
"AM-10","0020",90,82.95,-58.5,1,"GIRO1","432","MIC","",""
"AM-10","0020",100,83.21,-58.82,1,"GIRO1","432","MIC","",""
"AM-10","0020",110,83.36,-58.19,1,"GIRO1","432","MIC","",""
"AM-10","0020",120,82.57,-57.83,1,"GIRO1","432","MIC","",""
"AM-10","0020",130,82.8,-57.99,1,"GIRO1","432","MIC","",""
"AM-10","0020",140,82.89,-57.73,1,"GIRO1","432","MIC","",""
"AM-10","0020",150,82.87,-57.5,1,"GIRO1","432","MIC","",""
"AM-10","0020",160,82.94,-57.52,1,"GIRO1","432","MIC","",""
"AM-10","0020",170,83.22,-57.16,1,"GIRO1","432","MIC","",""
"AM-10","0020",180,83.33,-57.08,1,"GIRO1","432","MIC","",""
"AM-10","0020",190,83.32,-57.03,1,"GIRO1","432","MIC","",""
"AM-10","0020",200,83.32,-56.76,1,"GIRO1","432","MIC","",""
"AM-10","0020",210,83.57,-56.49,1,"GIRO1","432","MIC","",""
"AM-10","0020",220,82.64,-55.41,1,"GIRO1","432","MIC","",""
"AM-10","0020",230,84,-55.01,1,"GIRO1","432","MIC","",""
"AM-10","0020",240,83.56,-54.47,1,"GIRO1","432","MIC","",""
"AM-10","0020",250,83.73,-53.14,1,"GIRO1","432","MIC","",""
"AM-10","0020",260,83.53,-51.45,1,"GIRO1","432","MIC","",""
"AM-10","0020",270,82.67,-50.06,1,"GIRO1","432","MIC","",""
"AM-10","0020",280,81.89,-48.16,1,"GIRO1","432","MIC","",""
"AM-10","0020",290,80.78,-46.46,1,"GIRO1","432","MIC","",""
"AM-10","0020",300,79.56,-45.16,1,"GIRO1","432","MIC","",""
"AM-10","0020",310,79.71,-44.5,1,"GIRO1","432","MIC","",""
"AM-10","0020",320,77.67,-44.15,1,"GIRO1","432","MIC","",""
"AM-10","0020",330,78.35,-43.56,1,"GIRO1","432","MIC","",""
"AM-10","0020",340,76.96,-43.07,1,"GIRO1","432","MIC","",""
"AM-10","0020",350,77.38,-42.51,1,"GIRO1","432","MIC","",""
"AM-10","0020",360,78.02,-42.55,1,"GIRO1","432","MIC","",""
"AM-10","0020",370,78.26,-42.63,1,"GIRO1","432","MIC","",""
"AM-10","0020",380,77.96,-41.56,1,"GIRO1","432","MIC","",""
"AM-10","0020",390,78.63,-42.28,1,"GIRO1","432","MIC","",""
"AM-10","0020",400,78.7,-41.59,1,"GIRO1","432","MIC","",""
"AM-10","0020",410,78.45,-40.51,1,"GIRO1","432","MIC","",""
"AM-10","0020",420,79.63,-40.14,1,"GIRO1","432","MIC","",""
"AM-10","0020",430,79.7,-39.41,1,"GIRO1","432","MIC","",""
"AM-10","0020",440,79.83,-38.87,1,"GIRO1","432","MIC","",""
"AM-10","0020",450,80.43,-37.85,1,"GIRO1","432","MIC","",""
"AM-10","0020",460,80.97,-37.28,1,"GIRO1","432","MIC","",""
"AM-10","0020",470,81.29,-37,1,"GIRO1","432","MIC","",""
"AM-11","0020",0,88.07,-60.26,1,"GIRO1","432","MIC","",""
"AM-11","0020",10,88.89,-59.98,1,"GIRO1","432","MIC","",""
"AM-11","0020",20,90.61,-60.64,1,"GIRO1","432","MIC","",""
"AM-11","0020",30,89.71,-60.81,1,"GIRO1","432","MIC","",""
"AM-11","0020",40,90.17,-60.75,1,"GIRO1","432","MIC","",""
"AM-11","0020",50,88.84,-60.65,1,"GIRO1","432","MIC","",""
"AM-11","0020",60,88.4,-60.09,1,"GIRO1","432","MIC","",""
"AM-11","0020",70,88.31,-59.24,1,"GIRO1","432","MIC","",""
"AM-11","0020",80,87.89,-58.52,1,"GIRO1","432","MIC","",""
"AM-11","0020",90,88.17,-57.69,1,"GIRO1","432","MIC","",""
"AM-11","0020",100,88.03,-57.05,1,"GIRO1","432","MIC","",""
"AM-11","0020",110,87.9,-56.47,1,"GIRO1","432","MIC","",""
"AM-11","0020",120,88.04,-55.66,1,"GIRO1","432","MIC","",""
"AM-11","0020",130,87.68,-54.91,1,"GIRO1","432","MIC","",""
"AM-11","0020",140,87.55,-54.45,1,"GIRO1","432","MIC","",""
"AM-11","0020",150,87.52,-52.98,1,"GIRO1","432","MIC","",""
"AM-11","0020",160,88.09,-52.82,1,"GIRO1","432","MIC","",""
"AM-11","0020",170,88.36,-51.98,1,"GIRO1","432","MIC","",""
"AM-11","0020",180,87.86,-51.34,1,"GIRO1","432","MIC","",""
"AM-11","0020",190,87.59,-50.49,1,"GIRO1","432","MIC","",""
"AM-11","0020",200,87.14,-49.82,1,"GIRO1","432","MIC","",""
"AM-11","0020",210,87.35,-48.91,1,"GIRO1","432","MIC","",""
"AM-11","0020",220,87.26,-48.13,1,"GIRO1","432","MIC","",""
"AM-11","0020",230,86.94,-47.47,1,"GIRO1","432","MIC","",""
"AM-11","0020",240,86.64,-46.7,1,"GIRO1","432","MIC","",""
"AM-11","0020",250,86.55,-46.12,1,"GIRO1","432","MIC","",""
"AM-11","0020",260,86.37,-45.48,1,"GIRO1","432","MIC","",""
"AM-11","0020",270,86.46,-45.03,1,"GIRO1","432","MIC","",""
"AM-11","0020",280,86.4,-43.86,1,"GIRO1","432","MIC","",""
"AM-11","0020",290,86.03,-44.62,1,"GIRO1","432","MIC","",""
"AM-11","0020",298,86.2,-44.75,1,"GIRO1","432","MIC","",""
"AM-12","0020",0,269.73,-58.64,1,"GIRO1","432","MIC","",""
"AM-12","0020",10,269.7,-59.3,1,"GIRO1","432","MIC","",""
"AM-12","0020",20,269.1,-61.4,1,"GIRO1","432","MIC","",""
"AM-12","0020",30,270.3,-62,1,"GIRO1","432","MIC","",""
"AM-12","0020",40,269.8,-62.1,1,"GIRO1","432","MIC","",""
"AM-12","0020",50,270.1,-62.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",60,270.4,-62.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",70,269.8,-61.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",80,270.5,-60.4,1,"GIRO1","432","MIC","",""
"AM-12","0020",90,270.5,-59.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",100,270.5,-58.4,1,"GIRO1","432","MIC","",""
"AM-12","0020",110,270.3,-57.4,1,"GIRO1","432","MIC","",""
"AM-12","0020",120,270.1,-56.4,1,"GIRO1","432","MIC","",""
"AM-12","0020",130,270.1,-55.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",140,270.2,-55,1,"GIRO1","432","MIC","",""
"AM-12","0020",150,270,-54.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",160,269.8,-53.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",170,270,-52.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",180,269.7,-52,1,"GIRO1","432","MIC","",""
"AM-12","0020",190,270.3,-50.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",200,270,-50.1,1,"GIRO1","432","MIC","",""
"AM-12","0020",210,270.2,-49.3,1,"GIRO1","432","MIC","",""
"AM-12","0020",220,269.9,-48.6,1,"GIRO1","432","MIC","",""
"AM-12","0020",230,270.2,-47.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",240,269.9,-46.9,1,"GIRO1","432","MIC","",""
"AM-12","0020",250,269.5,-46.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",260,269.4,-45.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",270,269.7,-45,1,"GIRO1","432","MIC","",""
"AM-12","0020",280,269.1,-43.7,1,"GIRO1","432","MIC","",""
"AM-12","0020",290,269.7,-43.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",300,270.3,-42,1,"GIRO1","432","MIC","",""
"AM-12","0020",310,270.2,-41.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",320,270.7,-40.6,1,"GIRO1","432","MIC","",""
"AM-12","0020",330,270.7,-40.1,1,"GIRO1","432","MIC","",""
"AM-12","0020",340,270.8,-39.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",350,270.8,-39,1,"GIRO1","432","MIC","",""
"AM-12","0020",360,271.1,-38.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",370,272.5,-37.2,1,"GIRO1","432","MIC","",""
"AM-12","0020",380,272.2,-37.5,1,"GIRO1","432","MIC","",""
"AM-12","0020",390,272.7,-36.8,1,"GIRO1","432","MIC","",""
"AM-12","0020",400,272.4,-35.6,1,"GIRO1","432","MIC","",""
"AM-12","0020",410,272.3,-35.3,1,"GIRO1","432","MIC","",""
"AM-13","0020",0,268.33,-58.59,1,"GIRO1","432","MIC","",""
"AM-13","0020",10,270.31,-57.96,1,"GIRO1","432","MIC","",""
"AM-13","0020",20,270.15,-58.15,1,"GIRO1","432","MIC","",""
"AM-13","0020",30,268.66,-58.37,1,"GIRO1","432","MIC","",""
"AM-13","0020",40,267.49,-58.13,1,"GIRO1","432","MIC","",""
"AM-13","0020",50,266.47,-58.44,1,"GIRO1","432","MIC","",""
"AM-13","0020",60,265.52,-57.77,1,"GIRO1","432","MIC","",""
"AM-13","0020",70,264.43,-57.64,1,"GIRO1","432","MIC","",""
"AM-13","0020",80,263.64,-57.44,1,"GIRO1","432","MIC","",""
"AM-13","0020",90,262.28,-57.22,1,"GIRO1","432","MIC","",""
"AM-13","0020",100,261.09,-57.09,1,"GIRO1","432","MIC","",""
"AM-13","0020",110,260.13,-57.7,1,"GIRO1","432","MIC","",""
"AM-13","0020",120,259.28,-58,1,"GIRO1","432","MIC","",""
"AM-13","0020",130,258.12,-57.82,1,"GIRO1","432","MIC","",""
"AM-13","0020",140,257.35,-57.51,1,"GIRO1","432","MIC","",""
"AM-13","0020",150,256.3,-58.04,1,"GIRO1","432","MIC","",""
"AM-13","0020",160,256.46,-57.96,1,"GIRO1","432","MIC","",""
"AM-13","0020",170,256.15,-57.92,1,"GIRO1","432","MIC","",""
"AM-13","0020",180,255.02,-57.94,1,"GIRO1","432","MIC","",""
"AM-13","0020",190,253.72,-57.95,1,"GIRO1","432","MIC","",""
"AM-13","0020",200,252.53,-58.41,1,"GIRO1","432","MIC","",""
"AM-13","0020",210,251.4,-57.73,1,"GIRO1","432","MIC","",""
"AM-13","0020",220,250.92,-57.16,1,"GIRO1","432","MIC","",""
"AM-13","0020",230,251.26,-56.63,1,"GIRO1","432","MIC","",""
"AM-13","0020",240,251.46,-56.04,1,"GIRO1","432","MIC","",""
"AM-13","0020",250,251.94,-55.56,1,"GIRO1","432","MIC","",""
"AM-13","0020",260,252.01,-55.04,1,"GIRO1","432","MIC","",""
"AM-13","0020",270,251.91,-55,1,"GIRO1","432","MIC","",""
"AM-13","0020",280,251.96,-54.91,1,"GIRO1","432","MIC","",""
"AM-13","0020",290,251.88,-54.83,1,"GIRO1","432","MIC","",""
"AM-13","0020",295,251.76,-54.8,1,"GIRO1","432","MIC","",""
"AM-14","0020",0,271.18,-49.83,1,"GIRO1","432","MIC","",""
"AM-14","0020",10,269.99,-48.76,1,"GIRO1","432","MIC","",""
"AM-14","0020",20,270.08,-49.69,1,"GIRO1","432","MIC","",""
"AM-14","0020",30,268.17,-50.08,1,"GIRO1","432","MIC","",""
"AM-14","0020",40,267.26,-50.54,1,"GIRO1","432","MIC","",""
"AM-14","0020",50,266.18,-50.17,1,"GIRO1","432","MIC","",""
"AM-14","0020",60,265.29,-50.16,1,"GIRO1","432","MIC","",""
"AM-14","0020",70,264.68,-49.72,1,"GIRO1","432","MIC","",""
"AM-14","0020",80,264.19,-49.44,1,"GIRO1","432","MIC","",""
"AM-14","0020",90,263.6,-49.61,1,"GIRO1","432","MIC","",""
"AM-14","0020",100,263.42,-49.47,1,"GIRO1","432","MIC","",""
"AM-14","0020",110,262.72,-49.55,1,"GIRO1","432","MIC","",""
"AM-14","0020",120,261.58,-49.58,1,"GIRO1","432","MIC","",""
"AM-14","0020",130,261.37,-49.65,1,"GIRO1","432","MIC","",""
