HoleID,X,Y,Z,Depth,GRIDNAME,PROSPECT,PROSPECTNAME_COLLAR_D
ANH-220,410241.195,7496800.051,1619.534,320,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-221,409879.009,7496250.005,1552.497,150,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-222,409988.943,7496349.958,1567.135,280,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-223,410137.38,7496549.01,1592.567,240,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-224,410201.04,7496694.983,1609.162,300,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-225,409403.004,7496642.986,1431.867,160,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-226,409455.45,7496136.431,1672.453,130,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-227,409416.978,7496659.062,1431.93,140,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-228,409339.378,7496393.529,1576.55,300,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-229,409430.903,7496604.928,1433.495,150,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-230,409428.604,7496605.61,1433.521,170,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-231,409400.633,7496362.673,1577.012,270,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-232,409472.724,7496293.547,1574.822,280,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-233,409356.193,7496951.146,1464.113,580,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-234,409077.782,7496830.29,1624.522,300,ANTUCOYA,891,ANT 2025 INFILL DDH
ANH-235,409406.015,7496861.957,1463.847,150,ANTUCOYA,891,ANT 2025 INFILL DDH
ANP-12,408960.489,7497338.194,1724.294,100,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-13,409025.283,7497379.45,1720.2,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-14,408991.353,7497371.143,1721.342,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-15,408922.942,7497331.399,1727.49,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-16,409108.884,7497500.932,1707.946,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-17,408927.941,7497378.928,1725.523,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-18,408940.106,7497410.024,1724.368,90,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-19,408970.013,7497421.125,1721.262,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-20,409052.991,7497477.943,1712.189,80,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-21,410158.174,7497049.96,1528.248,70,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-22,410105.084,7497049.976,1528.484,90,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-23,410133.349,7496999.956,1512.679,60,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
ANP-24,410027.93,7497179.99,1512.28,70,ANTUCOYA,893,ANT 2025 RECONOCIMIENTO PP27
