HoleID,Depth,Azimuth,Dip
ANH-220,0,271.44,-58.84
ANH-220,10,271.14,-58.8
ANH-220,20,271.21,-58.86
ANH-220,30,271.19,-58.93
ANH-220,40,271.26,-59.12
ANH-220,50,271.02,-59.23
ANH-220,60,271.14,-59.14
ANH-220,70,271.39,-59.25
ANH-220,80,271.54,-59.28
ANH-220,90,271.46,-59.28
ANH-220,100,271.8,-59.32
ANH-220,110,272.16,-59.06
ANH-220,120,272.45,-59.05
ANH-220,130,272.68,-59.04
ANH-220,140,272.92,-59.14
ANH-220,150,273.17,-59.1
ANH-220,160,273.36,-59.19
ANH-220,170,273.38,-59.22
ANH-220,180,273.35,-59.33
ANH-220,190,273.62,-59.41
ANH-220,200,274.05,-59.2
ANH-220,210,274.26,-59.12
ANH-220,220,274.52,-58.91
ANH-220,230,275.17,-59.08
ANH-220,240,275.61,-59.06
ANH-220,250,275.64,-59.06
ANH-220,260,275.81,-58.8
ANH-220,270,275.99,-58.62
ANH-220,280,276.24,-58.51
ANH-220,290,276.48,-58.38
ANH-220,300,276.7,-58.23
ANH-220,310,276.92,-58.14
ANH-221,0,270.61,-74.76
ANH-221,10,269.22,-75.09
ANH-221,20,269.04,-75.11
ANH-221,30,268.8,-75.12
ANH-221,40,269.33,-75.4
ANH-221,50,268.78,-75.55
ANH-221,60,268.19,-75.58
ANH-221,70,267.79,-75.72
ANH-221,80,267.78,-75.73
ANH-221,90,267.81,-75.86
ANH-221,100,267.74,-75.94
ANH-221,110,267.72,-76.05
ANH-221,120,267.67,-76.09
ANH-221,130,267.34,-76.22
ANH-221,140,267.58,-76.25
ANH-222,0,271.26,-62.69
ANH-222,10,271.16,-62.65
ANH-222,20,271.24,-62.73
ANH-222,30,271.42,-62.74
ANH-222,40,271.65,-62.79
ANH-222,50,271.71,-62.75
ANH-222,60,271.67,-62.59
ANH-222,70,271.88,-62.54
ANH-222,80,272.2,-62.4
ANH-222,90,272.32,-62.35
ANH-222,100,272.77,-62.12
ANH-222,110,272.94,-61.88
ANH-222,120,272.93,-61.76
ANH-222,130,273.34,-61.73
ANH-222,140,273.33,-61.65
ANH-222,150,273.73,-61.39
ANH-222,160,274.49,-61.25
ANH-222,170,275.03,-61.35
ANH-222,180,275.72,-61.18
ANH-222,190,276.2,-61.19
ANH-222,200,276.55,-61.42
ANH-222,210,276.69,-61.62
ANH-222,220,276.85,-61.59
ANH-222,230,277.14,-61.68
ANH-222,240,277.58,-61.3
ANH-222,250,277.7,-61.42
ANH-222,260,278.01,-61.36
ANH-222,270,278.03,-61.53
ANH-223,0,271.51,-66.92
ANH-223,10,272.05,-66.86
ANH-223,20,271.56,-66.85
ANH-223,30,271.23,-66.97
ANH-223,40,270.8,-66.96
ANH-223,50,270.89,-66.9
ANH-223,60,270.81,-66.84
ANH-223,70,270.74,-66.89
ANH-223,80,270.89,-66.9
ANH-223,90,270.93,-66.85
ANH-223,100,270.91,-66.79
ANH-223,110,271.11,-66.79
ANH-223,120,271.39,-66.69
ANH-223,130,271.58,-66.7
ANH-223,140,271.38,-66.72
ANH-223,150,271.54,-66.71
ANH-223,160,271.68,-66.79
ANH-223,170,271.6,-66.63
ANH-223,180,271.95,-66.65
ANH-223,190,272,-66.58
ANH-223,200,272.15,-66.58
ANH-223,210,272.5,-66.55
ANH-223,220,272.85,-66.53
ANH-223,230,272.82,-66.68
ANH-224,0,269.03,-62.39
ANH-224,10,269.3,-62.53
ANH-224,20,269.01,-62.53
ANH-224,30,268.63,-62.51
ANH-224,40,268.69,-62.49
ANH-224,50,268.52,-62.54
ANH-224,60,268.51,-62.57
ANH-224,70,268.43,-62.48
ANH-224,80,267.87,-62.72
ANH-224,90,268.16,-62.73
ANH-224,100,268.19,-62.85
ANH-224,110,268.49,-62.68
ANH-224,120,268.6,-62.58
ANH-224,130,268.44,-62.52
ANH-224,140,268.54,-62.51
ANH-224,150,268.41,-62.35
ANH-224,160,268.25,-62.45
ANH-224,170,268.08,-62.4
ANH-224,180,267.84,-62.4
ANH-224,190,267.63,-62.41
ANH-224,200,267.92,-62.49
ANH-224,210,268,-62.15
ANH-224,220,267.72,-62.17
ANH-224,230,267.7,-62.21
ANH-224,240,267.81,-62.19
ANH-224,250,267.76,-62.08
ANH-224,260,268.2,-62.3
ANH-224,270,268.2,-62.31
ANH-224,280,268.49,-62.29
ANH-224,290,268.71,-62.53
ANH-225,0,226.02,-59.51
ANH-225,10,226.37,-59.67
ANH-225,20,226.62,-59.75
ANH-225,30,227.23,-60.01
ANH-225,40,227.59,-60.01
ANH-225,50,227.98,-60.19
ANH-225,60,228.33,-60.25
ANH-225,70,228.68,-60.4
ANH-225,80,229.1,-60.44
ANH-225,90,229.21,-60.48
ANH-225,100,229.67,-60.47
ANH-225,110,230.01,-60.49
ANH-225,120,230.15,-60.49
ANH-225,130,230.28,-60.53
ANH-225,140,230.68,-60.6
ANH-225,150,230.98,-60.54
ANH-226,0,43.74,-59.73
ANH-226,10,43.25,-60.08
ANH-226,20,43.27,-60.03
ANH-226,30,43.4,-59.9
ANH-226,40,43.27,-60.06
ANH-226,50,43.32,-60.28
ANH-226,60,43.51,-60.15
ANH-226,70,43.86,-60.04
ANH-226,80,43.69,-59.94
ANH-226,90,43.93,-60.05
ANH-226,100,43.95,-60.24
ANH-226,110,44.25,-60.36
ANH-226,120,44.35,-60.55
ANH-227,0,222.4,-80.94
ANH-227,10,222.42,-81.09
ANH-227,20,223.03,-81.1
ANH-227,30,223.38,-81.11
ANH-227,40,223.49,-81.11
ANH-227,50,223.6,-81.12
ANH-227,60,223.7,-81.17
ANH-227,70,223.81,-81.23
ANH-227,80,224.06,-81.15
ANH-227,90,224.46,-80.93
ANH-227,100,224.85,-80.72
ANH-227,110,225.14,-80.71
ANH-227,120,225.43,-80.69
ANH-227,130,225.72,-80.68
ANH-228,0,42.28,-68.85
ANH-228,10,41.71,-68.57
ANH-228,20,41.79,-68.69
ANH-228,30,42.06,-68.84
ANH-228,40,41.94,-68.95
ANH-228,50,41.42,-68.92
ANH-228,60,41.28,-69.19
ANH-228,70,41.32,-69.6
ANH-228,80,41.12,-69.67
ANH-228,90,41.04,-69.82
ANH-228,100,41.61,-70.15
ANH-228,110,42.17,-70.03
ANH-228,120,42.27,-70.42
ANH-228,130,42.42,-70.64
ANH-228,140,42.31,-70.82
ANH-228,150,42.63,-70.91
ANH-228,160,42.7,-70.95
ANH-228,170,42.88,-71.36
ANH-228,180,43.25,-71.53
ANH-228,190,43.68,-71.56
ANH-228,200,43.59,-71.79
ANH-228,210,43.69,-71.9
ANH-228,220,44.54,-72.01
ANH-228,230,43.74,-71.99
ANH-228,240,44.51,-72.02
ANH-228,250,45.32,-71.74
ANH-228,260,45.71,-71.59
ANH-228,270,45.88,-71.64
ANH-228,280,45.99,-71.65
ANH-228,290,45.87,-72.07
ANH-229,0,224.55,-75.43
ANH-229,10,224.01,-75.47
ANH-229,20,224.57,-75.41
ANH-229,30,224.89,-75.32
ANH-229,40,225.13,-75.28
ANH-229,50,225.79,-75.3
ANH-229,60,225.86,-75.35
ANH-229,70,225.98,-75.28
ANH-229,80,226.61,-75.38
ANH-229,90,226.75,-75.31
ANH-229,100,226.97,-75.33
ANH-229,110,227.4,-75.41
ANH-229,120,227.51,-75.46
ANH-229,130,227.91,-75.55
ANH-229,140,228.85,-75.75
ANH-230,0,47.46,-79.98
ANH-230,10,46.74,-80.13
ANH-230,20,46.56,-80.2
ANH-230,30,46.8,-80.23
ANH-230,40,47.17,-80.22
ANH-230,50,47.86,-80.21
ANH-230,60,48.97,-80.32
ANH-230,70,48.82,-80.32
ANH-230,80,49.03,-80.35
ANH-230,90,50.16,-80.3
ANH-230,100,51.04,-80.2
ANH-230,110,52.25,-80.1
ANH-230,120,53,-80.01
ANH-230,130,52.49,-80.07
ANH-230,140,53.32,-80.31
ANH-230,150,53.74,-80.45
ANH-230,160,54.65,-80.38
ANH-231,0,43.68,-68.67
ANH-231,10,43.78,-68.96
ANH-231,20,43.98,-69.11
ANH-231,30,43.53,-69.36
ANH-231,40,43.66,-69.54
ANH-231,50,43.47,-69.66
ANH-231,60,43.23,-69.78
ANH-231,70,43.18,-69.84
ANH-231,80,43.25,-70.08
ANH-231,90,43.27,-70.1
ANH-231,100,43.13,-70.24
ANH-231,110,43.23,-70.5
ANH-231,120,43.35,-70.77
ANH-231,130,43.41,-70.92
ANH-231,140,43.43,-71.09
ANH-231,150,43.85,-71.19
ANH-231,160,44.02,-71.3
ANH-231,170,44.69,-71.44
ANH-231,180,44.56,-71.55
ANH-231,190,44.2,-71.46
ANH-231,200,44.22,-71.62
ANH-231,210,44.92,-71.93
ANH-231,220,45.24,-72.18
ANH-231,230,45.33,-72.24
ANH-231,240,45.32,-72.35
ANH-231,250,45.7,-72.53
ANH-231,260,45.46,-72.63
ANH-232,0,45.13,-65.07
ANH-232,10,44.44,-65.15
ANH-232,20,44.38,-65.38
ANH-232,30,44.73,-65.68
ANH-232,40,44.88,-65.75
ANH-232,50,45.26,-65.74
ANH-232,60,45.4,-65.84
ANH-232,70,45.76,-65.97
ANH-232,80,46.49,-66.08
ANH-232,90,47.09,-66.04
ANH-232,100,48.2,-65.95
ANH-232,110,48.88,-65.93
ANH-232,120,49.69,-65.86
ANH-232,130,50.23,-65.99
ANH-232,140,50.67,-66.03
ANH-232,150,51.31,-66.05
ANH-232,160,51.78,-66.11
ANH-232,170,52.29,-66.33
ANH-232,180,53.17,-66.53
ANH-232,190,53.99,-66.57
ANH-232,200,55.15,-66.72
ANH-232,210,56,-66.69
ANH-232,220,56.77,-67.01
ANH-232,230,56.79,-67.16
ANH-232,240,57.01,-67.25
ANH-232,250,56.99,-67.23
ANH-232,260,57.77,-67.57
ANH-232,270,58.08,-67.41
ANH-233,0,225.84,-58.19
ANH-233,10,225.23,-58.04
ANH-233,20,225.55,-58.16
ANH-233,30,225.84,-58.09
ANH-233,40,225.92,-58.17
ANH-233,50,226.37,-58.01
ANH-233,60,226.48,-58.05
ANH-233,70,226.65,-58.07
ANH-233,80,226.88,-57.98
ANH-233,90,226.97,-57.96
ANH-233,100,227.2,-57.93
ANH-233,110,227.29,-57.81
ANH-233,120,227.44,-57.77
ANH-233,130,227.68,-57.67
ANH-233,140,227.77,-57.61
ANH-233,150,227.99,-57.47
ANH-233,160,228.19,-57.4
ANH-233,170,228.32,-57.23
ANH-233,180,228.72,-57.19
ANH-233,190,228.87,-57.17
ANH-233,200,228.95,-56.96
ANH-233,210,229.07,-56.74
ANH-233,220,229.12,-56.61
ANH-233,230,229.33,-56.47
ANH-233,240,229.45,-56.43
ANH-233,250,229.58,-56.32
ANH-233,260,229.88,-56.18
ANH-233,270,230.08,-56.2
ANH-233,280,230.23,-56.16
ANH-233,290,230.53,-56.11
ANH-233,300,230.94,-55.96
ANH-233,310,231.22,-55.8
ANH-233,320,231.45,-55.62
ANH-233,330,231.76,-55.56
ANH-233,340,232.2,-55.42
ANH-233,350,232.51,-55.18
ANH-233,360,232.85,-54.98
ANH-233,370,233.06,-54.79
ANH-233,380,233.41,-54.6
ANH-233,390,233.54,-54.49
ANH-233,400,233.87,-54.22
ANH-233,410,233.8,-54.2
ANH-233,420,234,-54.09
ANH-233,430,234.05,-53.78
ANH-233,440,234.16,-53.49
ANH-233,450,234.4,-53.22
ANH-233,460,234.76,-53.01
ANH-233,470,235.05,-52.76
ANH-233,480,235.24,-52.63
ANH-233,490,235.56,-52.48
ANH-233,500,235.84,-52.43
ANH-233,510,236.26,-52.08
ANH-233,520,236.61,-51.83
